Kategorie: Alle Kategorien

Woche,Influenza: (Solothurn),influenza: (Solothurn),Grippe: (Solothurn),Flu: (Solothurn)
2019-05-26,0,0,0,0
2019-06-02,13,0,0,0
2019-06-09,0,0,0,0
2019-06-16,0,0,5,0
2019-06-23,0,0,0,0
2019-06-30,0,0,8,6
2019-07-07,0,0,0,0
2019-07-14,8,10,0,8
2019-07-21,0,11,9,0
2019-07-28,16,0,0,0
2019-08-04,0,0,6,0
2019-08-11,7,0,0,0
2019-08-18,11,0,0,0
2019-08-25,0,0,7,0
2019-09-01,0,0,7,5
2019-09-08,6,0,34,0
2019-09-15,0,0,0,0
2019-09-22,0,0,0,0
2019-09-29,0,0,10,0
2019-10-06,6,0,0,13
2019-10-13,0,0,8,0
2019-10-20,0,0,0,0
2019-10-27,0,7,12,8
2019-11-03,0,0,9,0
2019-11-10,7,0,0,0
2019-11-17,0,0,22,0
2019-11-24,0,0,9,7
2019-12-01,17,0,16,0
2019-12-08,7,6,12,5
2019-12-15,21,9,0,0
2019-12-22,8,8,0,0
2019-12-29,25,0,0,0
2020-01-05,9,5,6,4
2020-01-12,12,13,15,0
2020-01-19,14,5,21,0
2020-01-26,43,0,29,4
2020-02-02,35,5,40,8
2020-02-09,29,0,22,0
2020-02-16,14,0,14,0
2020-02-23,100,20,65,9
2020-03-01,73,10,39,0
2020-03-08,68,13,57,6
2020-03-15,99,13,78,5
2020-03-22,73,7,60,4
2020-03-29,55,10,35,4
2020-04-05,24,0,10,0
2020-04-12,23,5,24,0
2020-04-19,22,0,22,5
2020-04-26,12,0,7,4
2020-05-03,5,4,14,0
2020-05-10,9,7,11,0
2020-05-17,6,0,7,7
2020-05-24,8,0,7,0
2020-05-31,12,4,0,0
2020-06-07,16,0,0,0
2020-06-14,0,7,11,4
2020-06-21,0,5,4,0
2020-06-28,18,0,6,0
2020-07-05,0,16,8,0
2020-07-12,0,0,6,0
2020-07-19,10,0,0,0
2020-07-26,0,0,9,18
2020-08-02,0,0,0,0
2020-08-09,6,12,0,0
2020-08-16,7,0,0,0
2020-08-23,11,0,0,6
2020-08-30,16,0,6,0
2020-09-06,7,8,20,0
2020-09-13,9,0,0,0
2020-09-20,12,0,9,0
2020-09-27,11,0,7,0
2020-10-04,36,0,14,0
2020-10-11,12,0,4,0
2020-10-18,27,0,24,0
2020-10-25,34,0,27,8
2020-11-01,17,0,13,0
2020-11-08,14,6,12,0
2020-11-15,15,0,12,0
2020-11-22,13,6,12,4
2020-11-29,6,0,4,0
2020-12-06,12,0,10,5
2020-12-13,9,7,20,0
2020-12-20,13,0,12,0
2020-12-27,22,0,15,0
2021-01-03,7,0,9,4
2021-01-10,25,0,25,0
2021-01-17,0,0,6,0
2021-01-24,8,0,0,0
2021-01-31,5,0,0,0
2021-02-07,6,20,0,0
2021-02-14,0,0,0,0
2021-02-21,9,0,4,0
2021-02-28,0,0,4,0
2021-03-07,11,9,0,11
2021-03-14,11,0,0,0
2021-03-21,4,8,0,0
2021-03-28,6,0,0,0
2021-04-04,12,0,0,0
2021-04-11,0,0,0,0
2021-04-18,17,0,4,0
2021-04-25,0,0,0,0
2021-05-02,0,0,6,0
2021-05-09,0,0,15,0
2021-05-16,0,0,6,0
2021-05-23,6,0,7,0
2021-05-30,0,0,0,0
2021-06-06,0,0,0,0
2021-06-13,8,0,5,0
2021-06-20,15,0,7,0
2021-06-27,6,0,8,5
2021-07-04,0,0,0,0
2021-07-11,0,0,0,0
2021-07-18,7,0,0,0
2021-07-25,0,0,7,0
2021-08-01,0,0,11,0
2021-08-08,0,0,6,0
2021-08-15,11,0,8,0
2021-08-22,13,6,0,0
2021-08-29,6,0,0,13
2021-09-05,0,0,5,16
2021-09-12,0,7,0,0
2021-09-19,0,0,0,10
2021-09-26,11,0,0,0
2021-10-03,0,0,0,0
2021-10-10,0,10,7,0
2021-10-17,0,0,10,0
2021-10-24,0,0,0,5
2021-10-31,9,0,12,0
2021-11-07,11,0,14,0
2021-11-14,0,0,17,0
2021-11-21,10,7,17,0
2021-11-28,8,12,12,6
2021-12-05,0,0,0,6
2021-12-12,12,19,8,0
2021-12-19,11,0,13,10
2021-12-26,11,0,0,0
2022-01-02,25,5,17,0
2022-01-09,23,0,11,0
2022-01-16,5,0,7,0
2022-01-23,14,0,7,5
2022-01-30,15,0,0,0
2022-02-06,5,16,9,0
2022-02-13,13,7,7,0
2022-02-20,6,0,0,0
2022-02-27,6,4,0,0
2022-03-06,5,0,14,0
2022-03-13,6,0,12,0
2022-03-20,4,0,8,0
2022-03-27,15,0,0,0
2022-04-03,16,0,12,5
2022-04-10,0,0,6,6
2022-04-17,12,0,11,0
2022-04-24,7,4,5,0
2022-05-01,0,0,11,0
2022-05-08,0,0,6,0
2022-05-15,0,0,0,0
2022-05-22,5,9,0,0
2022-05-29,0,0,5,0
2022-06-05,0,0,0,0
2022-06-12,5,0,0,0
2022-06-19,0,0,0,0
2022-06-26,0,0,0,0
2022-07-03,0,0,0,6
2022-07-10,0,0,9,5
2022-07-17,0,0,8,0
2022-07-24,0,0,0,0
2022-07-31,0,0,0,0
2022-08-07,6,0,0,0
2022-08-14,4,0,6,0
2022-08-21,8,0,14,0
2022-08-28,4,0,0,8
2022-09-04,0,0,18,0
2022-09-11,0,0,16,0
2022-09-18,16,0,7,0
2022-09-25,0,0,0,0
2022-10-02,10,12,8,0
2022-10-09,4,4,19,0
2022-10-16,13,0,0,11
2022-10-23,6,0,9,0
2022-10-30,13,0,7,0
2022-11-06,7,6,9,0
2022-11-13,8,4,7,0
2022-11-20,7,0,10,0
2022-11-27,10,0,16,0
2022-12-04,15,0,15,0
2022-12-11,47,0,11,0
2022-12-18,38,11,27,0
2022-12-25,34,7,33,0
