Kategorie: Alle Kategorien

Woche,Influenza: (Wallis),influenza: (Wallis),Grippe: (Wallis),Flu: (Wallis)
2019-05-05,7,9,0,0
2019-05-12,0,0,5,0
2019-05-19,4,0,0,6
2019-05-26,0,0,0,0
2019-06-02,0,0,0,3
2019-06-09,0,0,4,4
2019-06-16,0,0,0,0
2019-06-23,0,0,4,0
2019-06-30,3,0,8,0
2019-07-07,5,0,0,0
2019-07-14,4,0,0,0
2019-07-21,0,0,7,0
2019-07-28,0,18,0,5
2019-08-04,5,0,0,13
2019-08-11,0,0,0,3
2019-08-18,5,0,0,0
2019-08-25,4,0,0,0
2019-09-01,3,0,3,0
2019-09-08,6,8,0,3
2019-09-15,7,6,0,0
2019-09-22,6,0,6,0
2019-09-29,4,0,10,5
2019-10-06,10,3,7,5
2019-10-13,6,4,4,4
2019-10-20,12,0,9,4
2019-10-27,3,0,4,0
2019-11-03,7,0,4,0
2019-11-10,7,0,9,0
2019-11-17,3,0,5,0
2019-11-24,14,0,0,3
2019-12-01,11,3,12,0
2019-12-08,12,0,9,0
2019-12-15,9,0,8,0
2019-12-22,11,0,5,3
2019-12-29,18,0,14,7
2020-01-05,14,0,12,0
2020-01-12,14,0,9,0
2020-01-19,27,3,23,0
2020-01-26,30,0,27,6
2020-02-02,32,0,25,5
2020-02-09,29,0,25,4
2020-02-16,19,3,19,0
2020-02-23,75,3,56,2
2020-03-01,61,0,55,7
2020-03-08,74,10,61,5
2020-03-15,100,7,75,9
2020-03-22,62,5,42,4
2020-03-29,41,0,30,0
2020-04-05,32,6,28,0
2020-04-12,20,0,10,0
2020-04-19,18,2,17,2
2020-04-26,15,0,10,2
2020-05-03,12,0,8,3
2020-05-10,11,5,8,0
2020-05-17,0,0,6,0
2020-05-24,12,0,7,2
2020-05-31,6,0,7,3
2020-06-07,9,14,6,6
2020-06-14,7,0,5,0
2020-06-21,7,0,3,0
2020-06-28,5,4,8,0
2020-07-05,11,3,6,0
2020-07-12,11,0,8,0
2020-07-19,8,6,3,0
2020-07-26,3,0,5,0
2020-08-02,10,0,14,0
2020-08-09,8,4,8,0
2020-08-16,11,3,5,4
2020-08-23,8,0,9,0
2020-08-30,0,0,3,0
2020-09-06,14,0,5,0
2020-09-13,10,0,3,3
2020-09-20,12,0,0,0
2020-09-27,6,0,3,3
2020-10-04,20,3,20,0
2020-10-11,18,0,24,0
2020-10-18,22,0,21,0
2020-10-25,34,0,27,0
2020-11-01,10,0,14,0
2020-11-08,20,0,16,5
2020-11-15,12,0,11,0
2020-11-22,16,3,13,0
2020-11-29,12,0,8,0
2020-12-06,8,0,6,0
2020-12-13,8,0,9,0
2020-12-20,18,4,15,4
2020-12-27,15,4,13,6
2021-01-03,7,0,6,0
2021-01-10,9,10,7,3
2021-01-17,8,0,8,3
2021-01-24,12,0,12,0
2021-01-31,11,0,13,3
2021-02-07,8,0,8,6
2021-02-14,8,0,5,2
2021-02-21,13,0,11,0
2021-02-28,0,0,5,0
2021-03-07,0,0,0,0
2021-03-14,11,0,6,0
2021-03-21,7,4,0,0
2021-03-28,4,0,0,0
2021-04-04,5,0,7,0
2021-04-11,9,0,0,3
2021-04-18,9,0,3,0
2021-04-25,9,0,9,0
2021-05-02,7,0,5,0
2021-05-09,7,0,4,5
2021-05-16,6,0,0,6
2021-05-23,0,0,0,3
2021-05-30,6,0,3,0
2021-06-06,3,0,0,0
2021-06-13,0,0,0,0
2021-06-20,4,3,5,0
2021-06-27,3,4,0,0
2021-07-04,10,6,0,0
2021-07-11,4,3,0,0
2021-07-18,4,0,6,0
2021-07-25,0,4,0,0
2021-08-01,6,3,5,0
2021-08-08,2,0,4,0
2021-08-15,0,0,4,0
2021-08-22,0,0,0,7
2021-08-29,4,5,0,0
2021-09-05,6,0,11,0
2021-09-12,0,0,5,0
2021-09-19,10,0,6,0
2021-09-26,8,0,0,10
2021-10-03,6,0,6,0
2021-10-10,7,0,5,9
2021-10-17,14,8,11,0
2021-10-24,9,0,8,0
2021-10-31,10,0,6,0
2021-11-07,12,0,10,0
2021-11-14,15,0,9,0
2021-11-21,10,3,0,0
2021-11-28,12,0,9,0
2021-12-05,9,0,8,0
2021-12-12,9,3,18,0
2021-12-19,9,8,6,8
2021-12-26,21,0,24,6
2022-01-02,19,0,10,3
2022-01-09,12,6,5,0
2022-01-16,4,0,9,0
2022-01-23,4,3,3,0
2022-01-30,7,4,7,2
2022-02-06,11,0,10,0
2022-02-13,5,0,6,3
2022-02-20,0,2,0,3
2022-02-27,6,0,4,0
2022-03-06,10,6,9,0
2022-03-13,11,0,13,0
2022-03-20,20,0,8,0
2022-03-27,15,2,2,2
2022-04-03,7,0,2,0
2022-04-10,23,0,4,4
2022-04-17,4,0,0,0
2022-04-24,2,0,0,0
2022-05-01,10,0,0,0
2022-05-08,0,4,5,0
2022-05-15,0,0,2,0
2022-05-22,3,0,3,3
2022-05-29,7,2,0,0
2022-06-05,6,0,0,0
2022-06-12,4,0,0,0
2022-06-19,0,4,0,3
2022-06-26,2,0,0,0
2022-07-03,0,0,4,0
2022-07-10,6,4,0,0
2022-07-17,5,0,0,0
2022-07-24,6,0,0,0
2022-07-31,8,0,0,0
2022-08-07,2,0,4,0
2022-08-14,3,0,0,0
2022-08-21,5,0,3,3
2022-08-28,2,0,0,0
2022-09-04,0,3,3,0
2022-09-11,3,0,5,0
2022-09-18,11,0,0,0
2022-09-25,0,0,0,0
2022-10-02,3,3,3,0
2022-10-09,12,0,7,0
2022-10-16,10,4,3,5
2022-10-23,7,0,6,0
2022-10-30,0,0,3,5
2022-11-06,8,0,13,4
2022-11-13,4,0,8,2
2022-11-20,6,0,10,0
2022-11-27,15,3,11,4
2022-12-04,9,0,0,3
2022-12-11,19,6,13,3
2022-12-18,18,0,10,5
2022-12-25,35,2,25,0
