Kategorie: Alle Kategorien

Woche,husten: (Glarus),Fieber: (Glarus),fièvre: (Glarus),toux: (Glarus)
2017-08-20,11,0,0,0
2017-08-27,5,0,0,0
2017-09-03,0,0,0,0
2017-09-10,0,0,0,0
2017-09-17,0,0,0,0
2017-09-24,0,0,0,0
2017-10-01,10,9,0,0
2017-10-08,0,0,0,0
2017-10-15,0,0,0,0
2017-10-22,0,0,0,0
2017-10-29,0,7,0,0
2017-11-05,0,0,0,0
2017-11-12,0,0,0,0
2017-11-19,0,0,0,0
2017-11-26,4,0,0,0
2017-12-03,0,0,0,0
2017-12-10,0,3,0,0
2017-12-17,7,0,0,0
2017-12-24,0,4,0,0
2017-12-31,0,8,0,0
