valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,popExtrapolation,totalConsultationsExtrapolation,incValue,prctConsultations,prct,trend,dataComplete
consultations,2013-W07,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,31357.9,154963.9,12583,385.25,4.74,100,stagnant,TRUE
consultations,2013-W07,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,7065.2,36076.5,2577,410.24,5.74,22.9,falling,TRUE
consultations,2013-W07,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,5462.6,27601.1,2128,398.54,5.17,17.7,falling,TRUE
consultations,2013-W07,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,4971.1,23628.3,1984,363.97,4.33,16.1,stagnant,TRUE
consultations,2013-W07,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,2947.2,13658.8,1148,380.71,4.53,9.6,stagnant,TRUE
consultations,2013-W07,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,6326.2,42998.8,3701,267.45,3.11,20.5,falling,TRUE
consultations,2013-W07,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,4036.4,11000.5,1045,745.42,7.85,13.1,rising,TRUE
consultations,2013-W07,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W08,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,25743.2,158724.3,13061,316.27,3.84,100,falling,TRUE
consultations,2013-W08,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,7208.7,32491.9,2307,418.57,5.9,27.4,stagnant,TRUE
consultations,2013-W08,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,3144.4,30512.4,2369,229.41,2.95,12,falling,TRUE
consultations,2013-W08,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,5526,15323.9,1297,404.6,4.78,21,stagnant,TRUE
consultations,2013-W08,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,1975,19597.6,1654,255.13,3.02,7.5,falling,TRUE
consultations,2013-W08,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,6325.9,46366.4,4047,267.44,3.06,24.1,stagnant,TRUE
consultations,2013-W08,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,2101.2,14432,1387,388.03,4.04,8,falling,TRUE
consultations,2013-W08,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W09,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,17817.7,173134.8,13919,218.9,2.72,100,falling,TRUE
consultations,2013-W09,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,3418.8,34254.9,2391,198.51,2.84,19,falling,TRUE
consultations,2013-W09,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,2168.2,27814.7,2080,158.19,2.12,12.1,falling,TRUE
consultations,2013-W09,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,3509.5,26463,2193,256.96,3.1,19.5,falling,TRUE
consultations,2013-W09,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,1169,22514.4,1851,151.01,1.84,6.5,falling,TRUE
consultations,2013-W09,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,6214.7,47956.1,4080,262.74,3.09,34.6,stagnant,TRUE
consultations,2013-W09,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,1494.4,14131.7,1324,275.98,2.95,8.3,falling,TRUE
consultations,2013-W09,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W10,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,17699.6,167851.5,13658,217.45,2.67,100,stagnant,TRUE
consultations,2013-W10,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,3684.3,33656.1,2378,213.93,3.03,21,stagnant,TRUE
consultations,2013-W10,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,2606,27350.2,2056,190.13,2.53,14.9,stagnant,TRUE
consultations,2013-W10,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,2738.7,23439.4,1968,200.52,2.39,15.6,falling,TRUE
consultations,2013-W10,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,1449.1,20834.4,1735,187.19,2.25,8.3,stagnant,TRUE
consultations,2013-W10,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,5873.2,48730.7,4206,248.3,2.88,33.5,stagnant,TRUE
consultations,2013-W10,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,1173.7,13840.7,1315,216.75,2.28,6.7,falling,TRUE
consultations,2013-W10,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W11,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,8775.3,169737.2,14401,107.81,1.27,100,falling,TRUE
consultations,2013-W11,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,1586.2,35830,2641,92.1,1.25,18,falling,TRUE
consultations,2013-W11,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,761.4,30604.1,2452,55.55,0.69,8.7,falling,TRUE
consultations,2013-W11,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,2022.6,23633.6,2072,148.09,1.69,23,falling,TRUE
consultations,2013-W11,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,1173.2,20454.9,1777,151.55,1.74,13.3,stagnant,TRUE
consultations,2013-W11,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,2773.9,46899.6,4223,117.27,1.3,31.5,falling,TRUE
consultations,2013-W11,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,483.7,12315,1236,89.32,0.89,5.5,falling,TRUE
consultations,2013-W11,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W12,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,6558.1,172512.9,14002,80.57,0.99,100,falling,TRUE
consultations,2013-W12,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,1026.3,36919.6,2589,59.59,0.85,15.7,falling,TRUE
consultations,2013-W12,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,748.5,31132.4,2387,54.61,0.71,11.5,stagnant,TRUE
consultations,2013-W12,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,1007.1,23053.1,1936,73.74,0.88,15.4,falling,TRUE
consultations,2013-W12,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,637.9,18203.9,1518,82.4,0.99,9.8,falling,TRUE
consultations,2013-W12,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,2410.1,50053.5,4321,101.89,1.18,36.9,falling,TRUE
consultations,2013-W12,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,700,13150.4,1251,129.27,1.36,10.7,stagnant,TRUE
consultations,2013-W12,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W13,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,3668.5,155314.6,11906,45.07,0.59,100,falling,TRUE
consultations,2013-W13,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,690.4,29930.4,1970,40.09,0.61,20.1,falling,TRUE
consultations,2013-W13,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,711.5,26968.7,1922,51.91,0.73,20.7,stagnant,TRUE
consultations,2013-W13,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,402.6,20349.9,1603,29.48,0.37,11.7,falling,TRUE
consultations,2013-W13,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,443.8,19185.9,1500,57.33,0.73,12.9,falling,TRUE
consultations,2013-W13,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,645.3,43988.2,3577,27.28,0.34,18.8,falling,TRUE
consultations,2013-W13,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,545.5,14891.6,1334,100.73,1.12,15.9,stagnant,TRUE
consultations,2013-W13,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W14,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,2163.5,139221.3,10344,26.58,0.36,100,falling,TRUE
consultations,2013-W14,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,647.6,23935.8,1522,37.6,0.59,28.4,stagnant,TRUE
consultations,2013-W14,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,26984,1880,0,0,0,falling,TRUE
consultations,2013-W14,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,532.4,20525.4,1577,38.98,0.51,23.3,stagnant,TRUE
consultations,2013-W14,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,244.7,18982.2,1436,31.61,0.42,10.7,falling,TRUE
consultations,2013-W14,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,807.5,38082.1,3007,34.14,0.43,35.4,stagnant,TRUE
consultations,2013-W14,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,50.6,10711.7,922,9.34,0.11,2.2,falling,TRUE
consultations,2013-W14,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W15,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,1715.8,170799.1,12577,21.08,0.29,100,falling,TRUE
consultations,2013-W15,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,357.7,33698.8,2109,20.77,0.33,23.2,falling,TRUE
consultations,2013-W15,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,44.7,30696.5,2125,3.26,0.05,2.9,stagnant,TRUE
consultations,2013-W15,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,186.8,21928,1648,13.68,0.18,12.1,falling,TRUE
consultations,2013-W15,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,178,17393.4,1325,23,0.3,11.6,falling,TRUE
consultations,2013-W15,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,331.6,49926,3901,14.02,0.18,21.5,falling,TRUE
consultations,2013-W15,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,441.9,17156.5,1469,81.6,0.95,28.7,stagnant,TRUE
consultations,2013-W15,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W16,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,625.1,195326.4,13383,7.68,0.11,100,falling,TRUE
consultations,2013-W16,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,43.9,39262,2295,2.55,0.04,7.4,falling,TRUE
consultations,2013-W16,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,42.1,32624,2080,3.07,0.05,7.1,stagnant,TRUE
consultations,2013-W16,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,96.3,28377.5,1996,7.05,0.1,16.1,falling,TRUE
consultations,2013-W16,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,33.8,22923,1607,4.36,0.06,5.7,falling,TRUE
consultations,2013-W16,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,269.2,52735.3,3859,11.38,0.16,45.1,falling,TRUE
consultations,2013-W16,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,111.6,19404.6,1546,20.61,0.26,18.7,stagnant,TRUE
consultations,2013-W16,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W17,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,370.4,175864.4,12564,4.55,0.06,100,falling,TRUE
consultations,2013-W17,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,122.6,42127.1,2593,7.12,0.12,32.8,stagnant,TRUE
consultations,2013-W17,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,51.9,26398.3,1797,3.79,0.06,13.9,rising,TRUE
consultations,2013-W17,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,25997.1,1931,0,0,0,falling,TRUE
consultations,2013-W17,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,0,21353.4,1583,0,0,0,falling,TRUE
consultations,2013-W17,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,199.6,47420.9,3619,8.44,0.11,53.4,falling,TRUE
consultations,2013-W17,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,0,12567.7,1041,0,0,0,falling,TRUE
consultations,2013-W17,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W18,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,359,158589.6,11370,4.41,0.06,100,stagnant,TRUE
consultations,2013-W18,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,0,39213.2,2409,0,0,0,falling,TRUE
consultations,2013-W18,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,28814.4,2007,0,0,0,falling,TRUE
consultations,2013-W18,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,58.9,23194.1,1722,4.31,0.06,17.8,stagnant,TRUE
consultations,2013-W18,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,0,16300.2,1189,0,0,0,falling,TRUE
consultations,2013-W18,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,62,38213.4,2936,2.62,0.03,18.7,falling,TRUE
consultations,2013-W18,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,210.6,12854.2,1107,38.9,0.45,63.5,rising,TRUE
consultations,2013-W18,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W19,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,613.7,145835,11157,7.54,0.1,100,rising,TRUE
consultations,2013-W19,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,0,28052,1839,0,0,0,falling,TRUE
consultations,2013-W19,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,100.6,27247,1946,7.34,0.1,20.9,rising,TRUE
consultations,2013-W19,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,19917.6,1572,0,0,0,falling,TRUE
consultations,2013-W19,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,0,17149.7,1341,0,0,0,falling,TRUE
consultations,2013-W19,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,0,40639.4,3311,0,0,0,falling,TRUE
consultations,2013-W19,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,379.9,12829.4,1148,70.15,0.78,79.1,rising,TRUE
consultations,2013-W19,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W20,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,429,170922.4,13108,5.27,0.07,100,stagnant,TRUE
consultations,2013-W20,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,0,38276.7,2542,0,0,0,falling,TRUE
consultations,2013-W20,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,33030.9,2389,0,0,0,falling,TRUE
consultations,2013-W20,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,18605.5,1476,0,0,0,falling,TRUE
consultations,2013-W20,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,0,20324.4,1604,0,0,0,falling,TRUE
consultations,2013-W20,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,53,44687.5,3659,2.24,0.03,16.4,stagnant,TRUE
consultations,2013-W20,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,270.8,15997.4,1438,50.01,0.56,83.6,stagnant,TRUE
consultations,2013-W20,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W21,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,372.8,152701,11201,4.58,0.06,100,falling,TRUE
consultations,2013-W21,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,56.8,30340.3,1914,3.3,0.05,19.3,rising,TRUE
consultations,2013-W21,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,24772.7,1720,0,0,0,falling,TRUE
consultations,2013-W21,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,21291.4,1600,0,0,0,falling,TRUE
consultations,2013-W21,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,127.3,18243.7,1361,16.44,0.22,43.2,rising,TRUE
consultations,2013-W21,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,0,43322.8,3352,0,0,0,falling,TRUE
consultations,2013-W21,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,110.3,14730,1254,20.37,0.24,37.5,falling,TRUE
consultations,2013-W21,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W22,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,375.2,173460.7,12995,4.61,0.06,100,stagnant,TRUE
consultations,2013-W22,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,149,34677,2237,8.65,0.13,44.3,rising,TRUE
consultations,2013-W22,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,28061.9,1957,0,0,0,falling,TRUE
consultations,2013-W22,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,25970.7,2004,0,0,0,falling,TRUE
consultations,2013-W22,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,43.9,17634.5,1347,5.67,0.07,13.1,stagnant,TRUE
consultations,2013-W22,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,0,52014.2,4133,0,0,0,falling,TRUE
consultations,2013-W22,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,143.4,15102.4,1317,26.49,0.3,42.6,stagnant,TRUE
consultations,2013-W22,iso_week_sentinella,unknown,sentinella_region,all,agegroup_ili_ari,all,NA,NA,NA,NA,NA,NA,NA,TRUE
consultations,2013-W23,iso_week_sentinella,CH,country,all,agegroup_ili_ari,all,276.7,176384.9,13662,3.4,0.04,100,falling,TRUE
consultations,2013-W23,iso_week_sentinella,region_1,sentinella_region,all,agegroup_ili_ari,all,47.7,36065.2,2399,2.77,0.04,21.9,falling,TRUE
consultations,2013-W23,iso_week_sentinella,region_2,sentinella_region,all,agegroup_ili_ari,all,0,28715.1,2092,0,0,0,falling,TRUE
consultations,2013-W23,iso_week_sentinella,region_3,sentinella_region,all,agegroup_ili_ari,all,0,22956.2,1831,0,0,0,falling,TRUE
consultations,2013-W23,iso_week_sentinella,region_4,sentinella_region,all,agegroup_ili_ari,all,0,21605.6,1705,0,0,0,falling,TRUE
consultations,2013-W23,iso_week_sentinella,region_5,sentinella_region,all,agegroup_ili_ari,all,0,51088.4,4196,0,0,0,falling,TRUE
consultations,2013-W23,iso_week_sentinella,region_6,sentinella_region,all,agegroup_ili_ari,all,169.7,15954.5,1439,31.34,0.35,78.1,rising,TRUE
